id,corp_ticker,ratio,rank,emsec_id
244,004060,100.0,1,90
245,004080,100.0,1,130
246,004090,82.69,1,25
247,004090,17.31,2,13
248,004100,100.0,1,84
249,004140,62.65,1,56
250,004140,37.35,2,53
251,004150,100.0,1,38
252,004170,53.53,1,107
253,004170,46.47,2,105
254,004250,76.13,1,39
255,004250,23.87,2,103
256,004270,100.0,1,120
257,004310,100.0,1,126
258,004360,100.0,1,56
259,004370,100.0,1,75
260,004380,100.0,1,62
261,004410,100.0,1,75
262,004430,100.0,1,30
263,004440,51.81,1,33
264,004440,48.19,2,50
265,004450,79.3,1,41
266,004450,20.7,2,39
267,004490,100.0,1,122
268,004540,53.59,1,38
269,004540,46.41,2,79
270,004560,100.0,1,33
271,004590,100.0,1,87
272,004650,61.19,1,77
273,004650,38.81,2,42
274,004690,100.0,1,22
275,004700,100.0,1,90
276,004710,63.94,1,121
277,004710,36.06,2,118
278,004720,100.0,1,126
279,004770,100.0,1,121
280,004780,100.0,1,41
281,004800,33.68,1,72
282,004800,23.02,2,26
283,004800,22.6,3,64
284,004800,20.7,4,25
285,004830,100.0,1,26
286,004840,100.0,1,39
287,004870,100.0,1,50
288,004890,67.69,1,33
289,004890,32.31,2,34
290,004910,100.0,1,30
291,004920,100.0,1,113
292,004960,79.02,1,45
293,004960,20.98,2,46
294,004970,100.0,1,74
295,004980,100.0,1,50
296,004990,46.33,1,25
297,004990,29.77,2,105
298,004990,23.9,3,30
299,005010,100.0,1,33
300,005030,100.0,1,84
301,005070,100.0,1,122
302,005090,62.21,1,20
303,005090,20.65,2,40
304,005090,17.14,3,19
305,005110,75.39,1,96
306,005110,24.61,2,8
307,005160,83.8,1,33
308,005160,16.2,2,17
309,005180,100.0,1,75
310,005250,100.0,1,126
311,005290,100.0,1,30
312,005300,100.0,1,77
313,005320,100.0,1,90
314,005360,78.8,1,42
315,005360,21.2,2,121
316,005380,100.0,1,82
317,005390,100.0,1,90
318,005420,66.08,1,122
319,005420,33.92,2,30
320,005430,100.0,1,55
321,005440,100.0,1,87
322,005490,59.18,1,33
323,005490,40.82,2,72
324,005500,100.0,1,126
325,005610,55.34,1,81
326,005610,24.8,2,76
327,005610,19.87,3,75
328,005670,78.11,1,75
329,005670,21.89,2,129
330,005680,100.0,1,121
331,005690,100.0,1,30
332,005710,100.0,1,84
333,005720,100.0,1,83
334,005740,100.0,1,76
335,005750,100.0,1,88
336,005800,100.0,1,90
337,005810,71.99,1,34
338,005810,28.01,2,44
339,005820,57.02,1,41
340,005820,42.98,2,130
341,005830,100.0,1,3
342,005850,100.0,1,84
343,005860,100.0,1,74
344,005870,100.0,1,44
345,005880,100.0,1,56
346,005930,61.16,1,86
347,005930,38.84,2,109
348,005940,100.0,1,2
349,005950,100.0,1,25
350,005960,100.0,1,45
351,005990,54.98,1,75
352,005990,45.02,2,42
353,006040,76.45,1,75
354,006040,23.55,2,41
355,006050,100.0,1,50
356,006060,100.0,1,91
357,006090,82.4,1,75
358,006090,17.6,2,74
359,006110,84.27,1,35
360,006110,15.73,2,121
361,006120,100.0,1,22
362,006140,100.0,1,130
363,006200,100.0,1,109
364,006220,100.0,1,1
365,006260,43.51,1,36
366,006260,24.29,2,121
367,006260,16.35,3,19
368,006260,15.85,4,8
369,006280,100.0,1,126
370,006340,55.21,1,65
371,006340,44.79,2,19
372,006360,100.0,1,45
373,006370,100.0,1,105
374,006380,100.0,1,25
375,006390,100.0,1,50
376,006400,100.0,1,122
377,006490,100.0,1,124
378,006570,64.97,1,50
379,006570,35.03,2,88
380,006620,100.0,1,126
381,006650,100.0,1,25
382,006660,100.0,1,84
383,006730,79.3,1,99
384,006730,20.7,2,106
385,006740,100.0,1,38
386,006800,100.0,1,2
387,006840,44.02,1,54
388,006840,33.72,2,25
389,006840,22.26,3,105
390,006880,100.0,1,75
