corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm
01515323,LG에너지솔루션,373220,Y,사업보고서 (2024.12),20250312000405,LG에너지솔루션,20250312,연
00231363,LG유플러스,032640,Y,사업보고서 (2024.12),20250317000701,LG유플러스,20250317,연
00105961,LG이노텍,011070,Y,[기재정정]사업보고서 (2024.12),20250318001384,LG이노텍,20250318,연
00401731,LG전자,066570,Y,사업보고서 (2024.12),20250317001029,LG전자,20250317,연
00356361,LG화학,051910,Y,[기재정정]사업보고서 (2024.12),20250731000339,LG화학,20250731,연
00503668,LIG넥스원,079550,Y,사업보고서 (2024.12),20250321002001,LIG넥스원,20250321,연
00105855,엘에스일렉트릭,010120,Y,사업보고서 (2024.12),20250317000918,엘에스일렉트릭,20250317,연
00104698,LS네트웍스,000680,Y,[기재정정]사업보고서 (2024.12),20250325000971,LS네트웍스,20250325,연
00105952,LS,006260,Y,[기재정정]사업보고서 (2024.12),20250814002856,LS,20250814,연
01093007,LS에코에너지,229640,Y,사업보고서 (2024.12),20250318000837,LS에코에너지,20250318,연
00525934,LX세미콘,108320,Y,[기재정정]사업보고서 (2024.12),20250312001059,LX세미콘,20250312,연
00120076,LX인터내셔널,001120,Y,사업보고서 (2024.12),20250320000626,LX인터내셔널,20250320,연
00445841,MDS테크,086960,K,사업보고서 (2024.12),20250320001212,MDS테크,20250320,연
00121534,MH에탄올,023150,Y,사업보고서 (2024.12),20250312000625,MH에탄올,20250312,연
00266961,NAVER,035420,Y,사업보고서 (2024.12),20250318000645,NAVER,20250318,연
00983271,NHN,181710,Y,[기재정정]사업보고서 (2024.12),20250331004208,NHN,20250331,연
01391033,NH프라임리츠,338100,Y,사업보고서 (2025.05),20250813001421,NH프라임리츠,20250813,
01391033,NH프라임리츠,338100,Y,[기재정정]사업보고서 (2024.11),20250214002376,NH프라임리츠,20250214,
00158316,NICE,034310,Y,사업보고서 (2024.12),20250318000811,NICE,20250318,연
00363769,NICE인프라,063570,K,사업보고서 (2024.12),20250317000969,NICE인프라,20250317,연
00116301,NI스틸,008260,Y,사업보고서 (2024.12),20250313000820,NI스틸,20250313,
00108038,엔피씨,004250,Y,사업보고서 (2024.12),20250321001553,엔피씨,20250321,연
01760738,OCI,456040,Y,사업보고서 (2024.12),20250314001304,OCI,20250314,연
00138279,S-Oil,010950,Y,사업보고서 (2024.12),20250319000503,S-Oil,20250319,연
00938688,SBI핀테크솔루션즈,950110,E,사업보고서 (2025.03),20250627000295,SBI핀테크솔루션즈,20250627,연
00125150,SGC에너지,005090,Y,사업보고서 (2024.12),20250312001090,SGC에너지,20250312,연
00152039,SG글로벌,001380,Y,사업보고서 (2024.12),20250319000355,SG글로벌,20250319,연
00137809,SHD,001770,Y,사업보고서 (2024.12),20250318000112,SHD,20250318,
00136457,SH에너지화학,002360,Y,사업보고서 (2024.12),20250320000777,SH에너지화학,20250320,연
00138260,SIMPAC,009160,Y,[기재정정]사업보고서 (2024.12),20250814003101,SIMPAC,20250814,연
00815369,에스제이엠,123700,Y,[첨부정정]사업보고서 (2024.12),20250321000422,에스제이엠,20250321,연
00181943,에스제이엠홀딩스,025530,Y,사업보고서 (2024.12),20250320001596,에스제이엠홀딩스,20250320,연
00139889,SKC,011790,Y,[기재정정]사업보고서 (2024.12),20250318001448,SKC,20250318,연
00144164,SK가스,018670,Y,사업보고서 (2024.12),20250312000964,SK가스,20250312,연
00131780,SK네트웍스,001740,Y,사업보고서 (2024.12),20250318000975,SK네트웍스,20250318,연
00508344,SK디앤디,210980,Y,사업보고서 (2024.12),20250314001183,SK디앤디,20250314,연
01535150,SK리츠,395400,Y,사업보고서 (2025.06),20250922000291,SK리츠,20250922,연
01535150,SK리츠,395400,Y,사업보고서 (2025.03),20250611000555,SK리츠,20250611,연
01535150,SK리츠,395400,Y,사업보고서 (2024.12),20250312001045,SK리츠,20250312,연
00181712,SK,034730,Y,사업보고서 (2024.12),20250318001364,SK,20250318,연
01596425,SK스퀘어,402340,Y,사업보고서 (2024.12),20250319001044,SK스퀘어,20250319,연
01386916,SK아이이테크놀로지,361610,Y,사업보고서 (2024.12),20250317000867,SK아이이테크놀로지,20250317,연
00480367,SK오션플랜트,100090,Y,[기재정정]사업보고서 (2024.12),20250814001175,SK오션플랜트,20250814,연
00631518,SK이노베이션,096770,Y,사업보고서 (2024.12),20250318000862,SK이노베이션,20250318,연
00131850,SK증권,001510,Y,사업보고서 (2024.12),20250319001113,SK증권,20250319,연
01267170,SK케미칼,285130,Y,사업보고서 (2024.12),20250318000565,SK케미칼,20250318,연
00159023,SK텔레콤,017670,Y,사업보고서 (2024.12),20250317000684,SK텔레콤,20250317,연
00134477,SNT다이내믹스,003570,Y,사업보고서 (2024.12),20250220001259,SNT다이내믹스,20250220,연
00398792,SNT모티브,064960,Y,사업보고서 (2024.12),20250220001279,SNT모티브,20250220,연
00648721,SNT에너지,100840,Y,사업보고서 (2024.12),20250220001320,SNT에너지,20250220,연
00225159,SNT홀딩스,036530,Y,사업보고서 (2024.12),20250220001567,SNT홀딩스,20250220,연
00125530,SPC삼립,005610,Y,사업보고서 (2024.12),20250318001175,SPC삼립,20250318,연
01784394,STX그린로지스,465770,Y,사업보고서 (2024.12),20250320001570,STX그린로지스,20250320,연
00138297,STX,011810,Y,사업보고서 (2024.12),20250320001714,STX,20250320,연
00480455,STX엔진,077970,Y,사업보고서 (2024.12),20250321000939,STX엔진,20250321,연
00409672,티비에이치글로벌,084870,Y,사업보고서 (2024.12),20250320000173,티비에이치글로벌,20250320,연
00117300,TCC스틸,002710,Y,사업보고서 (2024.12),20250319000643,TCC스틸,20250319,연
00142865,WISCOM,024070,Y,사업보고서 (2024.12),20250320000660,WISCOM,20250320,연
00506294,가비아,079940,K,사업보고서 (2024.12),20250319000755,가비아,20250319,연
00441304,가온그룹,078890,K,사업보고서 (2024.12),20250318001290,가온그룹,20250318,연
00104768,가온전선,000500,Y,[기재정정]사업보고서 (2024.12),20250320000299,가온전선,20250320,연
01364747,가온칩스,399720,K,[기재정정]사업보고서 (2024.12),20250814003602,가온칩스,20250814,연
00261009,감성코퍼레이션,036620,K,사업보고서 (2024.12),20250318001099,감성코퍼레이션,20250318,
00100939,강남제비스코,000860,Y,사업보고서 (2024.12),20250318001036,강남제비스코,20250318,연
01032583,강동씨앤엘,198440,K,사업보고서 (2024.12),20250319000398,강동씨앤엘,20250319,
01025644,강스템바이오텍,217730,K,사업보고서 (2024.12),20250318000827,강스템바이오텍,20250318,
00255619,강원랜드,035250,Y,사업보고서 (2024.12),20250318001106,강원랜드,20250318,연
00100601,강원에너지,114190,K,[기재정정]사업보고서 (2024.12),20250814004064,강원에너지,20250814,연
00587457,갤럭시아머니트리,094480,K,[기재정정]사업보고서 (2024.12),20250321001956,갤럭시아머니트리,20250321,연
00129554,갤럭시아에스엠,011420,Y,[기재정정]사업보고서 (2024.12),20250814002546,갤럭시아에스엠,20250814,
00206039,경남스틸,039240,K,사업보고서 (2024.12),20250310000522,경남스틸,20250310,
00307028,경남제약,053950,K,사업보고서 (2024.12),20250312000888,경남제약,20250312,연
00101433,경농,002100,Y,사업보고서 (2024.12),20250317000859,경농,20250317,연
00101488,경동나비엔,009450,Y,사업보고서 (2024.12),20250318000908,경동나비엔,20250318,연
01208885,경동도시가스,267290,Y,사업보고서 (2024.12),20250318000876,경동도시가스,20250318,연
00143527,경동인베스트,012320,Y,사업보고서 (2024.12),20250320001376,경동인베스트,20250320,연
00101549,경동제약,011040,K,[첨부추가]사업보고서 (2024.12),20250320001428,경동제약,20250320,연
00101628,경방,000050,Y,사업보고서 (2024.12),20250320001362,경방,20250320,연
00101664,경보제약,214390,Y,사업보고서 (2024.12),20250318001404,경보제약,20250318,
00102113,경인양행,012610,Y,사업보고서 (2024.12),20250320000738,경인양행,20250320,연
00102140,경인전자,009140,Y,사업보고서 (2024.12),20250312000686,경인전자,20250312,연
00102353,경창산업,024910,K,사업보고서 (2024.12),20250319000380,경창산업,20250319,연
00102432,계룡건설산업,013580,Y,[기재정정]사업보고서 (2024.12),20250814001751,계룡건설산업,20250814,연
00102618,계양전기,012200,Y,사업보고서 (2024.12),20250314001765,계양전기,20250314,연
00102751,고려산업,002140,Y,사업보고서 (2024.12),20250312000333,고려산업,20250312,연
00336297,고려신용정보,049720,K,사업보고서 (2024.12),20250317000548,고려신용정보,20250317,연
00102858,고려아연,010130,Y,[기재정정]사업보고서 (2024.12),20250331003521,고려아연,20250331,연
00103006,고려제강,002240,Y,[기재정정]사업보고서 (2024.12),20250515002790,고려제강,20250515,연
00103015,고려제약,014570,K,사업보고서 (2024.12),20250313000419,고려제약,20250313,
01399071,고바이오랩,348150,K,사업보고서 (2024.12),20250320001682,고바이오랩,20250320,연
01416235,고스트스튜디오,950190,K,사업보고서 (2024.12),20250320001365,고스트스튜디오,20250320,연
00579999,고영,098460,K,사업보고서 (2024.12),20250314001353,고영,20250314,연
00249502,골드앤에스,035290,K,사업보고서 (2024.12),20250318001388,골드앤에스,20250318,
01067516,골프존,215000,K,사업보고서 (2024.12),20250320001486,골프존,20250320,연
00674498,골프존홀딩스,121440,K,사업보고서 (2024.12),20250320001249,골프존홀딩스,20250320,연
01307335,공구우먼,366030,K,사업보고서 (2024.12),20250319000977,공구우먼,20250319,연
00103592,광동제약,009290,Y,[기재정정]사업보고서 (2024.12),20250325000803,광동제약,20250325,연
00103635,광림,014200,E,사업보고서 (2024.12),20250318000849,광림,20250318,
00103662,광명전기,017040,Y,[기재정정]사업보고서 (2024.12),20250814002376,광명전기,20250814,
00186452,광무,029480,K,사업보고서 (2024.12),20250321000896,광무,20250321,연
00152729,광전자,017900,Y,사업보고서 (2024.12),20250320000952,광전자,20250320,연
00220561,광주신세계,037710,Y,[기재정정]사업보고서 (2024.12),20250313000495,광주신세계,20250313,
00104120,광진실업,026910,K,사업보고서 (2024.12),20250314000648,광진실업,20250314,연
00113359,교보증권,030610,Y,사업보고서 (2024.12),20250313000901,교보증권,20250313,연
00453284,교촌에프앤비,339770,Y,[기재정정]사업보고서 (2024.12),20250324000180,교촌에프앤비,20250324,연
00202060,구영테크,053270,K,사업보고서 (2024.12),20250318000572,구영테크,20250318,연
00104388,국도화학,007690,Y,[기재정정]사업보고서 (2024.12),20250321001221,국도화학,20250321,연
00253985,국보디자인,066620,K,[기재정정]사업보고서 (2024.12),20250814002253,국보디자인,20250814,연
00104519,국보,001140,Y,사업보고서 (2024.12),20250321001993,국보,20250321,연
00256715,국순당,043650,K,[첨부추가]사업보고서 (2024.12),20250318000984,국순당,20250318,연
00104537,국영지앤엠,006050,K,사업보고서 (2024.12),20250317000903,국영지앤엠,20250317,
00203847,국일신동,060480,K,사업보고서 (2024.12),20250317000624,국일신동,20250317,
00104573,국일제지,078130,K,사업보고서 (2024.12),20250320001247,국일제지,20250320,연
01329957,국전약품,307750,K,[기재정정]사업보고서 (2024.12),20250321001847,국전약품,20250321,연
00104722,국제약품,002720,Y,[첨부정정]사업보고서 (2024.12),20250320000780,국제약품,20250320,연
00244561,그래디언트,035080,K,사업보고서 (2024.12),20250321001841,그래디언트,20250321,연
00557508,GKL,114090,Y,[기재정정]사업보고서 (2024.12),20250328001704,GKL,20250328,연
01170962,GRT,900290,K,사업보고서 (2025.06),20251023000250,GRT,20251023,연
01299203,그리드위즈,453450,K,사업보고서 (2024.12),20250321001848,그리드위즈,20250321,연
00671978,그리티,204020,K,사업보고서 (2024.12),20250313000307,그리티,20250313,연
01370863,그린리소스,402490,K,[기재정정]사업보고서 (2024.12),20250814001330,그린리소스,20250814,연
01370863,그린리소스,402490,K,[기재정정]사업보고서 (2024.12),20250320001353,그린리소스,20250320,연
00532059,그린생명과학,114450,K,사업보고서 (2024.12),20250319000988,그린생명과학,20250319,
00454946,그린케미칼,083420,Y,사업보고서 (2024.12),20250318000396,그린케미칼,20250318,
00602279,그린플러스,186230,K,[기재정정]사업보고서 (2024.12),20250814000281,그린플러스,20250814,연
00105156,극동유화,014530,Y,사업보고서 (2024.12),20250320001025,극동유화,20250320,연
00540863,GST,083450,K,[기재정정]사업보고서 (2024.12),20250319000134,GST,20250319,연
00783246,글로벌에스엠,900070,K,사업보고서 (2024.12),20250425000505,글로벌에스엠,20250425,연
01042711,글로벌텍스프리,204620,K,사업보고서 (2024.12),20250321001335,글로벌텍스프리,20250321,연
00159731,글로본,019660,K,사업보고서 (2024.12),20250407004334,글로본,20250407,
00159731,글로본,019660,K,사업보고서제출기한연장신고서 (2024.12),20250321001700,글로본,20250321,
00105299,금강공업,014280,Y,[기재정정]사업보고서 (2024.12),20250319000431,금강공업,20250319,연
00105475,금강철강,053260,K,[기재정정]사업보고서 (2024.12),20250814002959,금강철강,20250814,연
00872656,금양그린파워,282720,K,사업보고서 (2024.12),20250321001729,금양그린파워,20250321,연
00106119,금양,001570,Y,사업보고서 (2024.12),20250321001823,금양,20250321,연
00106313,금호건설,002990,Y,[기재정정]사업보고서 (2024.12),20250814001090,금호건설,20250814,연
00106368,금호석유화학,011780,Y,사업보고서 (2024.12),20250317000810,금호석유화학,20250317,연
00105606,금호에이치티,214330,Y,사업보고서 (2024.12),20250317000938,금호에이치티,20250317,연
00106395,금호전기,001210,Y,사업보고서 (2024.12),20250318000723,금호전기,20250318,연
00481454,금호타이어,073240,Y,사업보고서 (2024.12),20250318001169,금호타이어,20250318,연
00176516,금화피에스시,036190,K,사업보고서 (2024.12),20250306000553,금화피에스시,20250306,연
00377018,기가레인,049080,K,사업보고서 (2024.12),20250319000695,기가레인,20250319,연
00765569,기가비스,420770,K,사업보고서 (2024.12),20250320000503,기가비스,20250320,
00258421,기산텔레콤,035460,K,사업보고서 (2024.12),20250320000752,기산텔레콤,20250320,연
